"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-05-07",,,"0.00",,,"73","34","39"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-05-12",,,"0.03",,,"63","36","37"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-05-13",,,"0.23",,,"64","37","38"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-05-14",,,"0.44",,,"68","38","43"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-05-15",,,"0.00",,,"68","39","41"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-05-18","    2","0.05",,,,,,"47"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-05-20",,,"0.00",,,"76","48","52"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-05-21",,,"0.47",,,"69","51","52"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-05-25",,,"0.00",,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-05-26",,,"0.00",,,,,"56"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-01",,,"0.08",,,,,"51"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-02",,,"0.15",,,"67","50","52"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-03",,,"0.00",,,"74","45","46"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-04",,,"0.00",,,"80","46","49"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-05",,,"0.00",,,"95","47","50"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-08",,,"0.00",,,,,"57"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-09",,,"0.00",,,"108","57","62"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-10",,,"0.00",,,"101","56","56"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-15",,,"0.00",,,,,"51"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-16",,,"0.00",,,"95","47","49"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-18",,,"0.00",,,"96","48","50"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-19",,,"0.00",,,"91","42","45"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-22",,,"0.00",,,,,"48"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-24",,,"0.00",,,"96","45","51"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-25",,,"0.00",,,"97","51","54"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-06-30",,,"0.00",,,"101","52","54"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-02",,,"0.00",,,"110","58","60"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-06",,,"0.00",,,,,"61"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-08",,,"1.11",,,"98","57","60"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-09",,,"0.10",,,"77","59","62"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-10",,,"0.21",,,"83","56","57"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-13",,,"0.00",,,,,"54"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-14",,,"0.00",,,"90","51","52"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-17",,,"0.00",,,"96","50","55"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-22",,,"0.00",,,"99","47","49"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-23",,,"0.00",,,"93","47","50"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-24",,,"0.00",,,"92","49","55"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-27",,,"0.00",,,,,"47"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-28",,,"0.00",,,"90","47","48"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-29",,,"0.00",,,"101","48","52"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-07-30",,,"0.00",,,"109","50","53"
