DATE,PRCP_happycamp,TMAX_happycamp,TMIN_happycamp,TOBS_happycamp,PRCP_orleans,PRCP_salmonriver,PRCP_cavejunction,discharge_IndianCreek,gage_ht_IndianCreek,discharge_IndianCreek_daily_change,discharge_SalmonRiver,gage_ht_SalmonRiver,discharge_SalmonRiver_daily_change,discharge_SuckerCreek,gage_ht_SuckerCreek,discharge_SuckerCreek_daily_change,year,month,day
2015-03-08,,,,,,0.0,,202.57608695652175,4.547282608695652,-6.225996376811594,5506.413043478261,,35.57971014492796,127.96739130434783,1.664782608695652,-3.303442028985515,2015,03,08
2015-03-09,0.0,,,34.0,,0.0,,195.79166666666666,4.521979166666667,-6.784420289855092,5512.395833333333,,5.982789855072042,124.57291666666667,1.6552083333333334,-3.3944746376811565,2015,03,09
2015-03-10,,,,,,0.0,,190.6875,4.501666666666666,-5.104166666666657,5558.958333333333,,46.5625,121.84375,1.6461458333333334,-2.7291666666666714,2015,03,10
2015-03-11,,,,,,1.8,,193.59375,4.513020833333333,2.90625,5708.555555555556,,149.59722222222263,123.40625,1.6513541666666667,1.5625,2015,03,11
2015-03-12,0.61,72.0,37.0,45.0,,4.8,,192.41666666666666,4.508333333333334,-1.1770833333333428,6011.145833333333,,302.5902777777774,120.625,1.6420833333333331,-2.78125,2015,03,12
2015-03-13,0.0,75.0,41.0,43.0,,,,182.42708333333334,4.468541666666667,-9.989583333333314,6386.041666666667,,374.89583333333394,116.25,1.6275000000000002,-4.375,2015,03,13
2015-03-14,,,,,,1.0,,195.84375,4.520104166666667,13.416666666666657,6888.4375,,502.39583333333303,124.44791666666667,1.6528124999999998,8.197916666666671,2015,03,14
2015-03-15,,,,,,3.8,,269.1354166666667,4.7875000000000005,73.29166666666669,8295.520833333334,,1407.083333333334,173.79166666666666,1.8007291666666667,49.343749999999986,2015,03,15
2015-03-16,1.41,,,42.0,,13.7,,304.3645833333333,4.911145833333333,35.22916666666663,11743.75,,3448.229166666666,174.91666666666666,1.8051041666666665,1.125,2015,03,16
2015-03-17,,,,,,0.0,,248.09375,4.719895833333333,-56.270833333333314,14317.708333333334,,2573.958333333334,145.40625,1.7201041666666665,-29.510416666666657,2015,03,17
2015-03-18,0.0,69.0,33.0,34.0,,0.0,,223.0,4.625208333333333,-25.09375,15960.416666666666,,1642.7083333333321,133.38541666666666,1.6813541666666667,-12.020833333333343,2015,03,18
2015-03-19,,,,,,0.0,,207.1875,4.564583333333333,-15.8125,15787.5,,-172.91666666666606,125.625,1.6582291666666666,-7.760416666666657,2015,03,19
2015-03-20,0.0,79.0,34.0,38.0,,0.0,,196.86458333333334,4.525729166666666,-10.322916666666657,14762.5,,-1025.0,121.15625,1.6438541666666666,-4.46875,2015,03,20
2015-03-21,,,,,,3.0,,221.41666666666666,4.619270833333333,24.552083333333314,14138.541666666666,,-623.9583333333339,138.28125,1.6970833333333333,17.125,2015,03,21
2015-03-22,,,,,,1.0,,242.38541666666666,4.696979166666667,20.96875,14110.416666666666,,-28.125,155.625,1.7485416666666669,17.34375,2015,03,22
2015-03-23,1.6,,,37.0,,21.1,,309.71875,4.92875,67.33333333333334,14285.416666666666,,175.0,194.92708333333334,1.8598958333333335,39.30208333333334,2015,03,23
2015-03-24,1.08,55.0,37.0,39.0,,23.4,,838.4375,6.0309375,528.71875,14340.625,,55.20833333333394,378.7083333333333,2.3265625,183.78124999999997,2015,03,24
